TV Station;Rating
ARTE;5.7
ARTE;6.3
ARTE;7.2
ARTE;5.4
ARTE;7.4
ARTE;8.3
ARTE;6.3
ARTE;7.3
ARTE;6.8
ARTE;5.0
ARTE;7.6
ARTE;6.9
ARTE;7.5
ARTE;7.3
ARTE;6.9
Degeto Film;5.4
Degeto Film;5.3
Degeto Film;7.0
Degeto Film;6.7
Degeto Film;5.8
Degeto Film;5.6
Degeto Film;6.9
Degeto Film;6.3
Degeto Film;6.2
Degeto Film;6.2
Degeto Film;5.8
Degeto Film;5.7
Degeto Film;6.6
Degeto Film;6.1
Degeto Film;5.3
